DATUM,PRIS,SUBSTANSVÄRDE,BERÄKNAT_SUBSTANSVÄRDE,DISCOUNT/PREMIUM
2022-04-20,209.15,248.0,225.78,0.079512311737987
2022-04-21,205.3,223.0,226.28,0.1021919142717973
2022-04-22,198.0,223.0,222.65,0.1244949494949495
2022-04-25,190.74,223.0,218.94,0.1478452343504246
2022-04-26,187.86,223.0,214.85,0.1436708186947725
2022-04-27,188.94,223.0,217.62,0.1517942203874246
2022-04-28,188.18,223.0,216.33,0.1495908173025826
2022-04-29,191.14,223.0,217.75,0.1392173276132678
2022-05-02,186.12,223.0,213.98,0.1496883730926283
2022-05-03,182.9,223.0,215.1,0.1760524876981956
2022-05-04,178.14,223.0,212.56,0.1932188166610532
2022-05-05,176.46,223.0,211.58,0.1990252748498243
2022-05-06,172.8,223.0,208.28,0.205324074074074
2022-05-09,168.46,223.0,205.36,0.2190430962839843
2022-05-10,169.64,223.0,206.54,0.2175194529592078
2022-05-11,173.08,223.0,208.06,0.2021030737231337
2022-05-12,171.68,223.0,207.56,0.2089934762348555
2022-05-13,175.92,223.0,211.78,0.2038426557526149
2022-05-16,175.0,223.0,210.86,0.2049142857142858
2022-05-17,177.78,223.0,213.17,0.199066261671729
2022-05-18,174.56,223.0,211.14,0.2095554537121905
2022-05-19,173.06,223.0,209.75,0.2120073962787472
2022-05-20,174.86,223.0,210.92,0.2062221205535855
2022-05-23,176.92,223.0,213.03,0.2041035496269501
2022-05-24,176.44,223.0,211.79,0.2003513942416685
2022-05-25,174.4,223.0,210.32,0.2059633027522935
2022-05-26,174.4,223.0,210.51,0.2070527522935779
2022-05-27,182.74,223.0,215.82,0.1810222173579948
2022-05-30,186.3,223.0,217.27,0.1662372517444981
2022-05-31,183.02,223.0,214.72,0.1732051141951698
2022-06-01,181.0,223.0,214.5,0.1850828729281768
2022-06-02,184.0,223.0,217.57,0.182445652173913
2022-06-03,183.44,223.0,217.14,0.183711295246402
2022-06-06,183.44,223.0,217.33,0.1847470562581771
2022-06-07,186.16,223.0,217.0,0.1656639449935539
2022-06-08,185.02,223.0,217.04,0.1730623716354987
2022-06-09,179.8,223.0,213.28,0.186206896551724
2022-06-10,176.24,223.0,208.68,0.184067181116659
2022-06-13,174.24,223.0,205.45,0.1791207529843892
2022-06-14,170.88,223.0,203.45,0.1906015917602996
2022-06-15,175.46,223.0,205.34,0.170295223982674
2022-06-16,168.44,223.0,201.7,0.1974590358584658
2022-06-17,167.24,223.0,200.74,0.2003109303994259
2022-06-20,167.02,223.0,200.99,0.2033888157106933
2022-06-21,167.12,223.0,202.81,0.2135591191957874
2022-06-22,167.16,223.0,202.1,0.2090212969609954
2022-06-23,165.6,223.0,200.36,0.2099033816425122
2022-06-24,165.6,223.0,200.41,0.2102053140096618
2022-06-27,172.36,223.0,205.35,0.1914017173358086
2022-06-28,170.48,223.0,204.83,0.2014899108399813
2022-06-29,169.5,223.0,204.24,0.2049557522123894
2022-06-30,168.18,223.0,201.9,0.2004994648590795
2022-07-01,169.76,223.0,201.38,0.186262959472196
2022-07-04,171.46,223.0,203.28,0.1855826431820832
2022-07-05,170.1,223.0,201.78,0.1862433862433863
2022-07-06,175.24,223.0,205.91,0.1750171193791371
2022-07-07,178.36,223.0,209.01,0.171843462659789
2022-07-08,179.94,223.0,210.43,0.1694453706791153
2022-07-11,177.98,223.0,208.16,0.1695696145634341
2022-07-12,181.1,223.0,210.19,0.1606294864715627
2022-07-13,177.66,223.0,207.33,0.1670043904086458
2022-07-14,177.08,223.0,205.78,0.1620736390332052
2022-07-15,173.42,199.0,204.81,0.1810056510206436
2022-07-18,176.06,199.0,205.99,0.1699988640236283
2022-07-19,177.0,199.0,208.71,0.1791525423728814
2022-07-20,176.08,199.0,208.87,0.186222171740118
2022-07-21,181.96,199.0,210.52,0.1569575730929874
2022-07-22,183.06,199.0,211.51,0.1554135256200152
2022-07-25,182.5,199.0,209.87,0.149972602739726
2022-07-26,179.22,199.0,209.96,0.1715210355987055
2022-07-27,179.62,199.0,210.59,0.1724195523883754
2022-07-28,182.26,199.0,214.08,0.1745857566114343
2022-07-29,188.8,199.0,217.16,0.1502118644067795
2022-08-01,186.46,199.0,215.67,0.156655582966856
2022-08-02,182.7,199.0,214.38,0.1733990147783251
2022-08-03,184.84,199.0,214.84,0.1623025319194979
2022-08-04,184.9,199.0,216.25,0.1695511087074094
2022-08-05,181.46,199.0,214.81,0.1837870605092031
2022-08-08,185.68,199.0,215.59,0.1610835846617836
2022-08-09,180.5,199.0,213.32,0.1818282548476454
2022-08-10,184.48,199.0,216.5,0.1735689505637468
2022-08-11,183.64,199.0,216.5,0.1789370507514703
2022-08-12,183.48,199.0,217.58,0.1858513189448442
2022-08-15,185.2,199.0,219.04,0.1827213822894168
2022-08-16,186.66,199.0,220.69,0.1823100825029465
2022-08-17,184.38,199.0,218.83,0.1868423907148281
2022-08-18,186.44,199.0,220.67,0.1835979403561467
2022-08-19,183.34,199.0,219.17,0.1954292571179229
2022-08-22,180.32,199.0,215.95,0.1975931677018633
2022-08-23,176.68,199.0,214.65,0.2149083088068825
2022-08-24,177.1,199.0,215.65,0.217673630717109
